ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
RCKT,Rocket Pharmaceuticals Inc.,2025-02-12 to 2025-02-12,1,0.7664503693580628,,0.7664503693580628,0.7664503693580628,1.0,0.0,2025-02-12 16:40:12
LVO,LiveOne Inc.,2025-01-16 to 2025-02-03,6,0.590643447637558,0.15438113110072596,,0.590643447637558,0.5,0.0,2025-02-03 09:01:04
RLX,RLX Technology Inc.,2025-01-17 to 2025-01-17,1,0.5505262970924377,,,0.5505262970924377,0.0,0.0,2025-01-17 03:08:25
ASTH,Astrana Health Inc.,2025-01-19 to 2025-01-21,2,0.5168464601039886,0.07544522748738659,,0.5168464601039886,0.0,0.0,2025-01-21 08:46:05
TCOM,Trip.com Group Limited,2025-01-21 to 2025-02-13,6,0.3496165057023366,0.299323883707197,0.2084469437599182,0.3496165057023366,0.16666666666666666,0.0,2025-02-13 09:54:00
SLB,Schlumberger Limited,2025-01-15 to 2025-02-14,52,0.30401049004151276,0.5409446935953605,0.23147344986597695,0.2874418001174927,0.4423076923076923,0.1346153846153846,2025-02-14 12:00:00
AMTM,Amentum Holdings Inc.,2025-01-21 to 2025-02-04,2,0.23447265028953557,0.9969658734082782,,0.23447265028953557,0.5,0.0,2025-02-04 07:46:05
MA,Mastercard Incorporated,2025-01-15 to 2025-02-14,60,0.2324125596880912,0.4440575991754751,0.05600138505299886,0.2242834382016083,0.3,0.06666666666666667,2025-02-14 10:50:00
SPB,Superior Plus Corp.,2025-01-16 to 2025-02-08,8,0.2243559941649437,0.3332029089369274,0.0,0.2243559941649437,0.125,0.0,2025-02-08 00:29:05
GPCR,Structure Therapeutics Inc.,2025-01-30 to 2025-02-13,2,0.2084469437599182,0.29478849490049813,0.4168938875198364,0.2084469437599182,0.0,0.0,2025-02-13 09:54:00
TWLO,Twilio Inc.,2025-01-15 to 2025-02-14,20,0.20826068401336667,0.3288958756532451,0.2935353422164917,0.2017884075641632,0.25,0.05,2025-02-14 07:33:55
HBM,Hudbay Minerals Inc.,2025-01-18 to 2025-02-13,2,0.18603241443634033,0.26308956353688484,0.0,0.18603241443634033,0.5,0.0,2025-02-13 23:44:29
BRZE,Braze Inc.,2025-01-25 to 2025-02-03,2,0.1855305552482605,0.2623798274667008,,0.1855305552482605,0.5,0.0,2025-02-03 09:33:03
INSW,International Seaways Inc.,2025-01-20 to 2025-02-12,4,0.179082852602005,0.4560854314456805,0.5277680397033692,0.179082852602005,0.0,0.25,2025-02-12 12:49:44
EVH,Evolent Health Inc.,2025-01-24 to 2025-02-12,4,0.17799268662929535,0.20719766439975987,0.0,0.17799268662929535,0.0,0.0,2025-02-12 07:24:00
XPO,XPO Inc.,2025-01-15 to 2025-02-11,8,0.17177561521530152,0.38101129102440556,0.20831607580184935,0.1963149888174874,0.25,0.25,2025-02-11 14:58:33
UPWK,Upwork Inc.,2025-01-15 to 2025-02-12,6,0.15915784239768982,0.3339851286469969,0.0,0.06914011001586916,0.3333333333333333,0.0,2025-02-12 21:03:40
CHMI,Cherry Hill Mortgage Investment Corporation,2025-01-27 to 2025-02-14,2,0.1482186108827591,0.2096127697064983,0.2964372217655182,0.1482186108827591,0.0,0.0,2025-02-14 10:13:50
AXON,Axon Enterprise Inc.,2020-07-22 to 2025-02-11,30,0.14191686312357585,0.49865859799498324,0.5652603149414063,0.1576854034706398,0.23333333333333334,0.0,2025-02-11 17:48:00
ARCO,Arcos Dorados Holdings Inc.,2025-01-15 to 2025-01-24,7,0.13504246303013392,0.35728877361136835,,0.1575495402018229,0.14285714285714285,0.0,2025-01-24 08:32:03
G,Assicurazioni Generali S.p.A.,2025-01-21 to 2025-02-09,9,0.13427176872889202,0.20414337909563995,0.3771857023239136,0.13427176872889202,0.2222222222222222,0.0,2025-02-09 11:41:53
CG,Centerra Gold Inc.,2025-01-15 to 2025-02-11,15,0.13359580993652342,0.28693041035104716,0.0,0.14313836778913225,0.13333333333333333,0.0,2025-02-11 13:35:04
CMPS,COMPASS Pathways plc,2025-01-21 to 2025-02-05,3,0.12610087394714356,0.21841312055529125,,0.12610087394714356,0.3333333333333333,0.0,2025-02-05 07:31:03
LW,Lamb Weston Holdings Inc.,2025-01-23 to 2025-02-05,7,0.12201085601534163,0.6104717203125002,,0.12201085601534163,0.14285714285714285,0.2857142857142857,2025-02-05 16:35:24
TRVG,trivago N.V.,2025-01-20 to 2025-02-05,3,0.12151362895965577,0.21046777917019668,,0.12151362895965577,0.3333333333333333,0.0,2025-02-05 13:43:03
SHOP,Shopify Inc.,2025-01-15 to 2025-02-13,35,0.1064187642506191,0.4300625109322403,0.23495856642723084,0.09891452859429753,0.2,0.02857142857142857,2025-02-13 23:57:34
