ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
IMCR,Immunocore Holdings plc,2025-06-12 to 2025-07-01,7,0.4655685475894384,0.263759257172048,,0.4655685475894384,0.2857142857142857,0.0,2025-07-01 16:50:00
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,2025-06-12 to 2025-06-29,2,0.46099402308464055,0.14292221394215213,,0.46099402308464055,0.5,0.0,2025-06-29 10:54:28
GPCR,Structure Therapeutics Inc.,2025-06-21 to 2025-07-03,3,0.41955132484436036,0.09243100415337277,,0.41955132484436036,0.3333333333333333,0.0,2025-07-03 17:09:10
TX,Ternium S.A.,2025-06-17 to 2025-07-09,4,0.3928567260503769,0.3728206147606195,0.8975465416908264,0.3928567260503769,0.75,0.0,2025-07-09 06:46:51
DAR,DARLING INGREDIENTS INC.,2025-06-14 to 2025-07-10,23,0.3539510664732559,0.28492568535914553,0.0,0.3539510664732559,0.34782608695652173,0.0,2025-07-10 22:15:00
ARX,ARC Resources Ltd.,2025-07-07 to 2025-07-07,1,0.32470428943634033,,0.32470428943634033,0.32470428943634033,0.0,0.0,2025-07-07 12:33:02
LFST, LIFESTANCE HEALTH GROUP,2025-06-16 to 2025-07-11,11,0.32428818399255926,0.5555242004663768,-0.05059394041697185,0.32428818399255926,0.36363636363636365,0.18181818181818182,2025-07-11 21:30:52
LVO,LiveOne Inc.,2025-06-12 to 2025-07-08,14,0.31425070336886807,0.4738563134622954,0.6548313339551289,0.31425070336886807,0.42857142857142855,0.07142857142857142,2025-07-08 17:50:38
SNDX,Syndax Pharmaceuticals Inc.,2025-06-12 to 2025-07-09,15,0.2907020656267802,0.28730283456362765,0.5483641564846039,0.2907020656267802,0.3333333333333333,0.0,2025-07-09 06:55:02
CG,Centerra Gold Inc.,2025-06-12 to 2025-07-11,40,0.2797079959511757,0.48138044798834545,0.33563712090253833,0.2797079959511757,0.35,0.075,2025-07-11 17:58:19
TWLO,Twilio Inc.,2025-06-13 to 2025-07-11,36,0.2790126108460956,0.4014428345798867,0.33209708062085236,0.2790126108460956,0.3055555555555556,0.1111111111111111,2025-07-11 15:50:03
MU,Micron Technology Inc.,2025-06-23 to 2025-07-11,229,0.26914616633190336,0.5424382053321115,0.1453108871855387,0.26914616633190336,0.38427947598253276,0.16593886462882096,2025-07-11 19:15:00
ALK,Alaska Air Group Inc,2025-06-12 to 2025-07-12,40,0.26448222041130065,0.5864158813482455,0.17047216494878129,0.26448222041130065,0.425,0.2,2025-07-12 00:00:03
BIIB,Biogen Inc.,2025-06-12 to 2025-07-10,52,0.2618902197250953,0.4667088213910011,0.21644732356071472,0.2512997631933175,0.34615384615384615,0.07692307692307693,2025-07-10 17:14:14
HBM,Hudbay Minerals Inc.,2025-06-16 to 2025-07-10,30,0.26051779508590694,0.31497529273882424,0.2550912588834762,0.26051779508590694,0.26666666666666666,0.13333333333333333,2025-07-10 16:13:00
CMPS,COMPASS Pathways plc,2025-06-18 to 2025-07-11,22,0.25432308695533057,0.4427237958947493,0.16290012001991272,0.25432308695533057,0.2727272727272727,0.13636363636363635,2025-07-11 05:22:34
CLS,CELESTICA INC.,2025-06-12 to 2025-07-11,45,0.24907946798536515,0.39481976417079395,0.27779701031171355,0.27551370425657795,0.2222222222222222,0.044444444444444446,2025-07-11 15:30:03
DVN,Devon Energy Corporation,2025-06-12 to 2025-07-11,45,0.2414970750278897,0.4719844737676597,0.40391611511057063,0.2469856449148872,0.28888888888888886,0.2222222222222222,2025-07-11 15:00:04
MNMD,Mind Medicine (MindMed) Inc.,2025-06-19 to 2025-06-30,11,0.23523427789861506,0.3866064598823557,,0.23523427789861506,0.45454545454545453,0.09090909090909091,2025-06-30 18:38:10
AVGO,Broadcom Inc.,2025-06-24 to 2025-07-11,241,0.23380318697062766,0.4649614410349748,0.21042566491269515,0.23380318697062766,0.29045643153526973,0.07883817427385892,2025-07-11 19:15:08
MRVL,Marvell Technology Inc.,2025-06-13 to 2025-07-11,117,0.2274955661887797,0.5056731635318171,0.16059246361255644,0.2274955661887797,0.29914529914529914,0.1452991452991453,2025-07-11 09:30:00
AXON,Axon Enterprise Inc.,2025-06-12 to 2025-07-11,42,0.22614956867127192,0.49036744739048105,0.407349779870775,0.22614956867127192,0.2619047619047619,0.11904761904761904,2025-07-11 12:31:10
PRU,Prudential Financial Inc.,2025-06-12 to 2025-07-11,27,0.22260954777399697,0.5201273585202258,-0.08342664957046508,0.22260954777399697,0.2962962962962963,0.07407407407407407,2025-07-11 19:23:53
COUR,Coursera Inc.,2025-06-23 to 2025-07-11,12,0.22251835167407988,0.468364207728964,0.01226444721221922,0.22251835167407988,0.16666666666666666,0.08333333333333333,2025-07-11 22:00:50
SMCI,Super Micro Computer Inc.,2025-06-12 to 2025-07-11,205,0.22159195626654277,0.5052093326745106,0.25113754228847784,0.22558400695547096,0.2634146341463415,0.17073170731707318,2025-07-11 21:22:57
COP,CONOCO PHILLIPS,2025-06-13 to 2025-07-11,85,0.21797981598797964,0.5642316906975319,0.16709102732794626,0.21797981598797964,0.3411764705882353,0.15294117647058825,2025-07-11 19:38:45
WDAY,Workday Inc.,2025-06-12 to 2025-07-11,51,0.2118387315787521,0.5521715823375807,0.03540618022282919,0.2118387315787521,0.2549019607843137,0.1568627450980392,2025-07-11 21:18:16
MSFT,Microsoft Corporation,2025-07-04 to 2025-07-12,243,0.20972821879288786,0.47435645571922097,0.21152891810936264,0.20972821879288786,0.24279835390946503,0.13580246913580246,2025-07-12 04:24:00
NVDA,NVIDIA Corporation,2025-07-08 to 2025-07-12,231,0.20941169747026453,0.5181287558468004,0.20941169747026453,0.20941169747026453,0.29004329004329005,0.18181818181818182,2025-07-12 00:40:00
PACS,PACS Group Inc.,2025-06-16 to 2025-07-03,8,0.20200066715478898,0.32495419861098557,,0.20200066715478898,0.25,0.0,2025-07-03 04:14:20
HQY,HealthEquity Inc.,2025-06-21 to 2025-07-09,7,0.199191301209586,0.4153188813281521,0.0,0.199191301209586,0.2857142857142857,0.14285714285714285,2025-07-09 17:40:03
MANH,MANHATTAN ASSOCIATES INC.,2025-06-12 to 2025-07-08,13,0.19389801575587345,0.5035263260550736,0.3506319046020508,0.19389801575587345,0.46153846153846156,0.07692307692307693,2025-07-08 13:48:31
RCI,Rogers Communications Inc.,2025-06-12 to 2025-07-11,24,0.1911245028177897,0.4410371967970536,0.09946659292493545,0.1911245028177897,0.2916666666666667,0.08333333333333333,2025-07-11 17:43:34
CVE,Cenovus Energy Inc.,2025-06-12 to 2025-07-03,12,0.1883580813805262,0.5731099490251479,,0.1883580813805262,0.16666666666666666,0.16666666666666666,2025-07-03 12:56:13
CRM,Salesforce Inc.,2025-06-12 to 2025-07-11,205,0.18811377266558205,0.47943442694927324,0.22027150452136998,0.18811377266558205,0.3073170731707317,0.12195121951219512,2025-07-11 20:42:54
SLB,Schlumberger Limited,2025-06-12 to 2025-07-11,56,0.18490006604364942,0.5372980580857767,0.30036813765764236,0.18490006604364942,0.32142857142857145,0.17857142857142858,2025-07-11 16:00:03
AMTM,Amentum Holdings Inc.,2025-06-12 to 2025-07-09,23,0.17924045894456944,0.5512415604564019,0.3826541105906169,0.17924045894456944,0.2608695652173913,0.13043478260869565,2025-07-09 13:34:32
PFGC,Performance Food Group Company,2025-06-20 to 2025-07-11,20,0.17561373591423032,0.5699995002785433,0.2213597025190081,0.17561373591423032,0.35,0.2,2025-07-11 21:37:47
DDOG,Datadog Inc.,2025-06-12 to 2025-07-10,115,0.16546135767646455,0.5096951535149438,0.008008192714891936,0.16546135767646455,0.24347826086956523,0.1391304347826087,2025-07-10 18:30:00
DUOL,Duolingo Inc.,2025-06-12 to 2025-07-10,37,0.16150380179688736,0.4976724272595185,0.056642666127946634,0.16150380179688736,0.2702702702702703,0.16216216216216217,2025-07-10 16:00:00
MA,Mastercard Incorporated,2025-06-12 to 2025-07-11,220,0.1486318887363781,0.5279454380988919,0.0884452141466595,0.1486318887363781,0.29545454545454547,0.1590909090909091,2025-07-11 23:50:04
CRNX,CRINETICS PHARMACEUTICALS INC.,2025-06-12 to 2025-07-11,9,0.14423815541797214,0.4280113404184946,0.31692163944244384,0.14423815541797214,0.1111111111111111,0.0,2025-07-11 14:00:00
SHOP,Shopify Inc.,2025-06-12 to 2025-07-11,119,0.13611445527116794,0.48548356154037053,0.18688617077740755,0.1462533940616836,0.23529411764705882,0.12605042016806722,2025-07-11 22:01:00
SNPS,SYNOPSYS INC.,2025-06-12 to 2025-07-11,94,0.13033167650090888,0.5193836295080608,0.10504750609397888,0.13609489875455058,0.32978723404255317,0.23404255319148937,2025-07-11 23:45:02
HAL,Halliburton Company,2025-06-12 to 2025-07-11,55,0.12783627315001053,0.6563787703723948,-0.3000496242727553,0.12783627315001053,0.3090909090909091,0.2545454545454545,2025-07-11 23:00:34
JBS, JBS SA,2025-06-13 to 2025-07-10,13,0.12483173608779907,0.23983192840428005,0.36799997091293335,0.12483173608779907,0.3076923076923077,0.0,2025-07-10 11:13:09
DBRG,DIGITALBRIDGE GROUP INC.,2025-06-12 to 2025-07-09,20,0.12297772645950315,0.6971104036628569,0.34775251150131226,0.12297772645950315,0.25,0.25,2025-07-09 06:55:15
INSW,International Seaways Inc.,2025-06-13 to 2025-07-10,15,0.12208046992619831,0.368471883582927,0.0,0.12208046992619831,0.13333333333333333,0.2,2025-07-10 13:54:00
UBER,Uber Technologies Inc.,2025-06-24 to 2025-07-11,237,0.10765970907633816,0.5213469180855101,0.1575332426405572,0.10765970907633816,0.2616033755274262,0.16033755274261605,2025-07-11 23:45:04
AMZN,Amazon.com Inc.,2025-07-06 to 2025-07-11,244,0.10086987099198043,0.4826281801144688,0.10086987099198043,0.10086987099198043,0.21721311475409835,0.16393442622950818,2025-07-11 23:52:43
TCOM,Trip.com Group Limited,2025-06-15 to 2025-07-11,20,0.09845567941665649,0.3747466057145945,0.24760266065597536,0.09845567941665649,0.25,0.2,2025-07-11 10:35:00
XPO,XPO Inc.,2025-06-17 to 2025-07-09,18,0.09822723865509035,0.40001698211237474,0.36548700034618375,0.09822723865509035,0.2222222222222222,0.05555555555555555,2025-07-09 16:30:00
CDE,Coeur Mining Inc.,2025-06-12 to 2025-07-10,27,0.0982228053940667,0.5524456966511336,0.017394791046778352,0.0982228053940667,0.37037037037037035,0.2222222222222222,2025-07-10 15:33:00
WELL,WELL Health Technologies Corp.,2025-06-16 to 2025-07-11,22,0.09425276192751797,0.5986549927603281,0.17265077148165023,0.09425276192751797,0.36363636363636365,0.18181818181818182,2025-07-11 13:30:00
UPWK,Upwork Inc.,2025-06-17 to 2025-07-11,17,0.09286121620851404,0.4829618011530606,-0.13376564383506775,0.09286121620851404,0.17647058823529413,0.058823529411764705,2025-07-11 22:01:00
FANG,DIAMONDBLACK ENERGY INC.,2025-06-13 to 2025-07-10,34,0.09031493944280287,0.5358162029221214,0.05308833360671996,0.09031493944280287,0.23529411764705882,0.17647058823529413,2025-07-10 18:10:03
MAX,MediaAlpha Inc,2025-06-12 to 2025-07-11,7,0.08625434807368686,0.26970862878197155,-0.134384822845459,0.08625434807368686,0.0,0.2857142857142857,2025-07-11 15:40:05
DHR,Danaher Corporation,2025-06-12 to 2025-07-11,36,0.07751181224981946,0.47665632952897136,0.30046143191201347,0.08713866949081421,0.2777777777777778,0.16666666666666666,2025-07-11 15:38:24
META,Meta Platforms Inc.,2025-07-03 to 2025-07-12,237,0.07260213687953064,0.4729467745291632,0.055248794389918504,0.07260213687953064,0.20675105485232068,0.1518987341772152,2025-07-12 00:54:55
AAPL,Apple Inc.,2025-07-02 to 2025-07-12,231,0.061875307121318134,0.5328312649830877,0.06522699379402658,0.061875307121318134,0.2077922077922078,0.21645021645021645,2025-07-12 01:05:09
RARE,ULTRAGENYX PHARMACEUTICAL INC.,2025-06-17 to 2025-07-11,21,0.05159388667061215,0.6931647679299696,-0.10523173362016677,0.05159388667061215,0.38095238095238093,0.3333333333333333,2025-07-11 22:30:00
EVH,Evolent Health Inc.,2025-06-17 to 2025-07-11,14,0.0466481340782983,0.5639238130201254,-0.33946070671081546,0.0466481340782983,0.14285714285714285,0.21428571428571427,2025-07-11 21:30:59
GOOGL,Alphabet Inc.,2025-07-02 to 2025-07-12,236,0.04434951970637854,0.4874613491602271,0.04427298565084734,0.04434951970637854,0.1906779661016949,0.1906779661016949,2025-07-12 00:30:10
DXCM,DexCom Inc.,2025-06-16 to 2025-07-09,39,0.03947898699687077,0.5973013075385375,-0.08482050597667692,0.03947898699687077,0.23076923076923078,0.20512820512820512,2025-07-09 20:41:09
CTRA,Coterra Energy Inc.,2025-06-12 to 2025-07-08,21,0.027054108324505034,0.6235405436764597,0.06778982639312744,0.027054108324505034,0.2857142857142857,0.23809523809523808,2025-07-08 22:05:00
CLDX,Celldex Therapeutics Inc.,2025-06-12 to 2025-07-08,10,0.007129843235015887,0.8854367276843159,0.37819364070892336,0.007129843235015887,0.5,0.4,2025-07-08 13:38:16
IMVT,Immunovant Inc.,2025-06-13 to 2025-07-06,3,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-06 10:15:22
SPGI,S&P Global Inc.,2025-06-12 to 2025-07-11,77,-0.016195509340855983,0.5679826170594257,0.2918923563427395,-0.016408608147972507,0.2077922077922078,0.2727272727272727,2025-07-11 14:17:00
FSLR,First Solar Inc.,2025-06-12 to 2025-07-11,113,-0.02509364654532576,0.6414154218953244,-0.15555663585662846,-0.02509364654532576,0.2743362831858407,0.34513274336283184,2025-07-11 23:45:03
MDLZ,Mondelez International Inc.,2025-06-12 to 2025-07-11,64,-0.04587834170088172,0.5698307659578934,-0.2378390312194824,-0.04587834170088172,0.21875,0.28125,2025-07-11 16:00:00
UAL,United Airlines Holdings Inc.,2025-06-12 to 2025-07-11,117,-0.04600777121690604,0.5964757661804756,-0.05440124103001186,-0.04600777121690604,0.21367521367521367,0.29914529914529914,2025-07-11 23:11:56
