ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
TEAD,Teads Holding Co.,2025-07-10 to 2025-07-10,1,0.8051046848297119,,,0.8051046848297119,1.0,0.0,2025-07-10 19:27:51
TBLA,Taboola.com Ltd.,2025-07-03 to 2025-07-16,6,0.6451278746128083,0.35231123551613897,,0.6451278746128083,0.6666666666666666,0.0,2025-07-16 08:30:06
NESR,National Energy Services Reunited Corp.,2025-07-02 to 2025-07-24,3,0.5075079917907714,0.05774651389748483,,0.5075079917907714,0.0,0.0,2025-07-24 02:20:00
MATV,Mativ Holdings Inc.,2025-07-10 to 2025-07-29,4,0.47712551951408383,0.45316930240908904,0.8760432124137878,0.47712551951408383,0.5,0.25,2025-07-29 09:59:00
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,2025-07-15 to 2025-07-17,3,0.4733441233634948,0.4128166226450243,,0.4733441233634948,0.6666666666666666,0.0,2025-07-17 16:38:29
PACS,PACS Group Inc.,2025-07-03 to 2025-07-29,2,0.4654868423938751,0.14938907464900902,0.35985281467437746,0.4654868423938751,0.5,0.0,2025-07-29 13:40:03
DDI,DoubleDown Interactive Co. Ltd.,2025-07-02 to 2025-07-14,6,0.42876969774564105,0.37181348806596726,,0.42876969774564105,0.5,0.0,2025-07-14 22:15:00
DDL,Dingdong (Cayman) Limited,2025-07-08 to 2025-07-08,1,0.4154238224029541,,,0.4154238224029541,0.0,0.0,2025-07-08 20:05:25
HRTG,Heritage Insurance Holdings Inc.,2025-07-02 to 2025-07-30,11,0.40028269290924073,0.36219290600244003,0.3647894144058228,0.40028269290924073,0.45454545454545453,0.0,2025-07-30 23:35:03
CRNX,CRINETICS PHARMACEUTICALS INC.,2025-07-03 to 2025-07-31,9,0.36388292312622067,0.4250825433179096,-0.0101120114326477,0.36388292312622067,0.3333333333333333,0.1111111111111111,2025-07-31 17:56:51
GPCR,Structure Therapeutics Inc.,2025-07-03 to 2025-07-03,1,0.35510609149932865,,,0.35510609149932865,1.0,0.0,2025-07-03 17:09:10
IMVT,Immunovant Inc.,2025-07-06 to 2025-07-16,4,0.3364130645990372,0.3969623112424579,,0.3364130645990372,0.25,0.0,2025-07-16 18:00:02
CDE,Coeur Mining Inc.,2025-07-03 to 2025-07-30,29,0.3203504654867896,0.4671557596916487,0.025132026672363285,0.3203504654867896,0.41379310344827586,0.06896551724137931,2025-07-30 16:00:12
CLDX,Celldex Therapeutics Inc.,2025-07-08 to 2025-07-25,2,0.2970255672931671,0.11478899025625759,0.21585749387741082,0.2970255672931671,0.5,0.5,2025-07-25 14:13:00
BIIB,Biogen Inc.,2025-07-03 to 2025-07-31,58,0.2944974169648927,0.51855336920323,0.2926835964123408,0.2944974169648927,0.46551724137931033,0.08620689655172414,2025-07-31 17:49:58
