ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
TEAD,Teads Holding Co.,2025-07-10 to 2025-07-10,1,0.8051046848297119,,,0.8051046848297119,1.0,0.0,2025-07-10 19:27:51
DDI,DoubleDown Interactive Co. Ltd.,2025-07-13 to 2025-07-14,2,0.5891105890274048,0.33521619031937216,,0.5891105890274048,0.5,0.0,2025-07-14 22:15:00
NESR,National Energy Services Reunited Corp.,2025-07-24 to 2025-07-24,1,0.5741879224777221,,,0.5741879224777221,0.0,0.0,2025-07-24 02:20:00
IMVT,Immunovant Inc.,2025-07-16 to 2025-07-16,3,0.44855075279871626,0.40114766374967264,,0.44855075279871626,0.3333333333333333,0.0,2025-07-16 18:00:02
AVNW,Aviat Networks Inc.,2025-07-10 to 2025-08-06,2,0.3784052550792694,0.5351458438063533,0.7568105101585388,0.3784052550792694,0.5,0.0,2025-08-06 13:29:45
CDE,Coeur Mining Inc.,2025-07-10 to 2025-08-08,34,0.3712894865695167,0.48289525918056087,0.29149580276929415,0.3712894865695167,0.5294117647058824,0.08823529411764706,2025-08-08 17:54:08
JBS, JBS SA,2025-07-10 to 2025-07-10,1,0.36799997091293335,,,0.36799997091293335,0.0,0.0,2025-07-10 11:13:09
PACS,PACS Group Inc.,2025-07-29 to 2025-08-07,2,0.36653641462326053,0.00945203769318656,0.3732200145721436,0.36653641462326053,1.0,0.0,2025-08-07 23:25:03
TCOM,Trip.com Group Limited,2025-07-11 to 2025-08-08,18,0.3321039232942793,0.29489636754416515,0.4632483094930649,0.3321039232942793,0.2777777777777778,0.05555555555555555,2025-08-08 10:38:00
BIIB,Biogen Inc.,2025-07-10 to 2025-08-07,64,0.3184665035456419,0.5131186688844825,0.07340633273124694,0.31447749270333186,0.484375,0.078125,2025-08-07 16:31:30
HQY,HealthEquity Inc.,2025-07-14 to 2025-08-08,19,0.30941070443705504,0.3385096490474214,0.33555770052803885,0.30941070443705504,0.10526315789473684,0.05263157894736842,2025-08-08 09:59:00
