ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
MAX,MediaAlpha Inc,2025-06-03 to 2025-06-12,2,0.6902373790740967,0.17040791873563452,,0.6902373790740967,0.5,0.0,2025-06-12 15:44:00
CLDX,Celldex Therapeutics Inc.,2025-06-06 to 2025-06-16,7,0.49054718528475083,0.414493272726702,0.9378915727138519,0.49054718528475083,0.5714285714285714,0.0,2025-06-16 11:17:29
PRU,Prudential Financial Inc.,2025-05-22 to 2025-06-19,25,0.36639406204223635,0.5961798478466903,0.6559983917645046,0.36639406204223635,0.4,0.12,2025-06-19 15:16:00
IDYA,IDEAYA Biosciences Inc.,2025-05-30 to 2025-06-12,4,0.34344374835491176,0.24476469153068436,,0.34344374835491176,0.0,0.0,2025-06-12 10:36:26
IMCR,Immunocore Holdings plc,2025-05-23 to 2025-06-17,5,0.3417829298973084,0.3120175423228039,0.0,0.3417829298973084,0.0,0.0,2025-06-17 23:14:09
CC,Cameco Corporation,2025-05-21 to 2025-06-18,13,0.3208659859804007,0.5101131247426035,0.5936531106630961,0.33142314056555433,0.46153846153846156,0.23076923076923078,2025-06-18 13:41:46
PFGC,Performance Food Group Company,2025-05-23 to 2025-05-30,10,0.31405950665473936,0.3775631140150138,,0.31405950665473936,0.3,0.0,2025-05-30 05:45:44
TWLO,Twilio Inc.,2025-05-22 to 2025-06-19,30,0.3088962856928507,0.3360725191774185,0.5537586092948913,0.3088962856928507,0.26666666666666666,0.03333333333333333,2025-06-19 05:32:36
CG,Centerra Gold Inc.,2025-05-22 to 2025-06-19,42,0.2974494374933697,0.38740639213440636,0.07385626597837967,0.2974494374933697,0.38095238095238093,0.023809523809523808,2025-06-19 23:00:28
DBRG,DIGITALBRIDGE GROUP INC.,2025-05-23 to 2025-06-12,5,0.2885550093650818,0.40888976336283145,,0.2885550093650818,0.2,0.0,2025-06-12 18:00:03
MU,Micron Technology Inc.,2025-05-21 to 2025-06-19,110,0.28160276635126635,0.4694521780355716,0.28193414956331253,0.29198843996833873,0.33636363636363636,0.11818181818181818,2025-06-19 15:15:06
MNMD,Mind Medicine (MindMed) Inc.,2025-05-27 to 2025-06-19,8,0.2705577701330185,0.342498073603938,0.344484559694926,0.2705577701330185,0.5,0.0,2025-06-19 16:10:55
DAR,DARLING INGREDIENTS INC.,2025-05-22 to 2025-06-18,13,0.2587799099775461,0.30474976536704246,0.32590116411447523,0.2587799099775461,0.46153846153846156,0.0,2025-06-18 22:10:00
CMPS,COMPASS Pathways plc,2025-06-18 to 2025-06-19,3,0.25743075211842853,0.4458831420997877,0.25743075211842853,0.25743075211842853,0.3333333333333333,0.0,2025-06-19 16:10:55
AMTM,Amentum Holdings Inc.,2025-05-22 to 2025-06-16,12,0.21845483283201853,0.7627232258928419,0.5463994145393372,0.21845483283201853,0.4166666666666667,0.25,2025-06-16 18:00:02
RCI,Rogers Communications Inc.,2025-05-23 to 2025-06-12,8,0.21493049263954161,0.2411733584379989,,0.21493049263954161,0.125,0.0,2025-06-12 19:30:00
TX,Ternium S.A.,2025-06-04 to 2025-06-19,6,0.2120931645234426,0.4694089058056693,0.3369401812553406,0.2120931645234426,0.6666666666666666,0.0,2025-06-19 01:26:19
AXON,Axon Enterprise Inc.,2025-05-22 to 2025-06-19,38,0.20506592361550582,0.47137337299699195,-0.0182734529177348,0.20506592361550582,0.2631578947368421,0.10526315789473684,2025-06-19 15:55:00
SMCI,Super Micro Computer Inc.,2025-05-21 to 2025-06-19,106,0.20394124546140993,0.5077298861916417,0.23184134612480797,0.20537408416711012,0.27358490566037735,0.1320754716981132,2025-06-19 19:38:17
SNDX,Syndax Pharmaceuticals Inc.,2025-05-29 to 2025-06-13,8,0.2026203855872154,0.21882014456079,0.0,0.2026203855872154,0.0,0.0,2025-06-13 18:10:18
HQY,HealthEquity Inc.,2025-05-21 to 2025-06-11,35,0.19913949353354318,0.4484384119832816,,0.23491909965392083,0.2857142857142857,0.08571428571428572,2025-06-11 15:50:09
NVDA,NVIDIA Corporation,2025-06-14 to 2025-06-20,231,0.18156629184107761,0.46387882842837413,0.18156629184107761,0.18156629184107761,0.26406926406926406,0.12554112554112554,2025-06-20 07:59:33
DDOG,Datadog Inc.,2025-05-21 to 2025-06-19,57,0.18041525619071824,0.45656945791746056,0.25389490638460427,0.18041525619071824,0.2807017543859649,0.08771929824561403,2025-06-19 11:45:00
