ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
AVNW,Aviat Networks Inc.,2025-08-06 to 2025-08-06,1,0.7568105101585388,,0.7568105101585388,0.7568105101585388,1.0,0.0,2025-08-06 13:29:45
DDI,DoubleDown Interactive Co. Ltd.,2025-07-13 to 2025-07-14,2,0.5891105890274048,0.33521619031937216,,0.3520769476890564,0.5,0.0,2025-07-14 22:15:00
NESR,National Energy Services Reunited Corp.,2025-07-24 to 2025-07-24,1,0.5741879224777221,,,0.5741879224777221,0.0,0.0,2025-07-24 02:20:00
IMVT,Immunovant Inc.,2025-07-16 to 2025-08-11,4,0.4463584303855896,0.32756504269859543,0.4397814631462097,0.4463584303855896,0.25,0.0,2025-08-11 13:00:00
PACS,PACS Group Inc.,2025-07-29 to 2025-08-07,2,0.36653641462326053,0.00945203769318656,0.3732200145721436,0.36653641462326053,1.0,0.0,2025-08-07 23:25:03
CDE,Coeur Mining Inc.,2025-07-14 to 2025-08-08,32,0.35039628986269233,0.48803329023314485,0.26818892459074656,0.35039628986269233,0.53125,0.09375,2025-08-08 17:54:08
UIS,Unisys Corporation,2025-07-15 to 2025-08-06,13,0.33696443209281335,0.44723451496149513,0.0,0.33696443209281335,0.46153846153846156,0.0,2025-08-06 03:36:06
HQY,HealthEquity Inc.,2025-07-14 to 2025-08-11,22,0.31874835166064175,0.3301523054647664,0.3461399714152018,0.31874835166064175,0.09090909090909091,0.045454545454545456,2025-08-11 21:31:54
TCOM,Trip.com Group Limited,2025-07-16 to 2025-08-11,18,0.3125692069530487,0.3050003668311838,0.3249673962593079,0.3125692069530487,0.2222222222222222,0.05555555555555555,2025-08-11 22:17:55
BIIB,Biogen Inc.,2025-07-13 to 2025-08-11,69,0.30132305086522865,0.545892017218501,0.23480670352776847,0.30132305086522865,0.5217391304347826,0.10144927536231885,2025-08-11 15:10:00
KINS,Kingstone Companies Inc.,2025-07-16 to 2025-08-09,11,0.30065430402755733,0.38373622967390897,0.2847254650933402,0.30065430402755733,0.2727272727272727,0.0,2025-08-09 09:05:23
DDOG,Datadog Inc.,2025-07-13 to 2025-08-11,76,0.2885347364764465,0.5040815352672188,0.5237906132974932,0.2885347364764465,0.35526315789473684,0.11842105263157894,2025-08-11 16:29:00
SNPS,SYNOPSYS INC.,2025-07-13 to 2025-08-11,81,0.28082791243070443,0.4886522262728126,0.48736234903335574,0.28082791243070443,0.2962962962962963,0.12345679012345678,2025-08-11 07:53:32
