ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
CLDX,Celldex Therapeutics Inc.,2025-03-24 to 2025-03-24,1,0.9212334752082825,,,0.9212334752082825,1.0,0.0,2025-03-24 20:24:00
CVE,Cenovus Energy Inc.,2025-03-24 to 2025-04-11,7,0.4456524968147277,0.37661379785250504,,0.4456524968147277,0.2857142857142857,0.0,2025-04-11 07:00:58
CRNX,CRINETICS PHARMACEUTICALS INC.,2025-03-27 to 2025-04-11,4,0.4310703933238983,0.3569910687620656,,0.4310703933238983,0.5,0.0,2025-04-11 14:00:00
IMCR,Immunocore Holdings plc,2025-03-21 to 2025-04-02,4,0.41658530831336976,0.401881348139645,,0.41658530831336976,0.5,0.0,2025-04-02 14:00:00
IMVT,Immunovant Inc.,2025-03-20 to 2025-04-08,6,0.31621455152829486,0.6037355920173988,,0.47401051223278046,0.3333333333333333,0.0,2025-04-08 16:05:52
LVO,LiveOne Inc.,2025-03-20 to 2025-04-17,6,0.3134475330511729,0.43969116424204197,0.4597151756286621,0.2908527493476868,0.16666666666666666,0.0,2025-04-17 14:00:00
IDYA,IDEAYA Biosciences Inc.,2025-03-20 to 2025-04-16,10,0.27969576716423034,0.5199577368400056,0.4360768735408783,0.3728126804033915,0.4,0.1,2025-04-16 10:52:23
HBM,Hudbay Minerals Inc.,2025-03-21 to 2025-04-01,9,0.23775233957502578,0.513397982181477,,0.23775233957502578,0.5555555555555556,0.1111111111111111,2025-04-01 08:45:19
CLS,CELESTICA INC.,2025-03-21 to 2025-04-11,12,0.2280240843693416,0.4292122765817642,,0.2280240843693416,0.25,0.0,2025-04-11 16:16:12
LKQ,LKQ Corporation,2025-03-20 to 2025-04-18,14,0.2244041110788073,0.538110419470187,0.20137158234914146,0.27738434901604286,0.42857142857142855,0.07142857142857142,2025-04-18 15:46:18
MDXG,MiMedx Group Inc.,2025-03-20 to 2025-04-16,4,0.18171779811382294,0.623205369141291,0.0,-0.0556556701660156,0.25,0.0,2025-04-16 14:00:00
