ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update,current_price,target_median,target_mean,target_low,target_high,num_analysts,recommendation,week_return,volume,avg_volume,market_cap,beta,timestamp,potential_return,data_version
AAPL,Apple Inc.,2025-01-29 to 2025-02-14,245,0.0005124900778945,0.5165843193009493,0.0946296820375654,0.0005124900778945,0.1755102040816326,0.236734693877551,2025-02-14 10:50:00,243.42,257.5,252.22575,197.0,325.0,40,buy,6.927302743364794,13751659,50559971,3656679686144,1.24,2025-02-14 16:54:34,5.784241229151267,20250214_165434
AMZN,Amazon.com Inc.,2025-01-30 to 2025-02-14,248,-0.0665303128380929,0.5175115222283779,0.0173867038126741,-0.0665303128380929,0.1774193548387097,0.2338709677419354,2025-02-14 10:50:00,228.365,270.0,266.45642,207.0,306.0,64,strong_buy,-2.0416893365777677,9223326,36551826,2420143816704,1.146,2025-02-14 16:54:34,18.231778074573597,20250214_165434
GOOGL,Alphabet Inc.,2025-01-29 to 2025-02-14,245,-0.0967220601500297,0.4843835332208409,0.003470705314116,-0.0967220601500297,0.1428571428571428,0.2408163265306122,2025-02-14 10:50:00,185.46,220.0,217.72063,151.0,240.0,48,buy,-0.5373021623177765,6249920,28917791,2270289985536,1.034,2025-02-14 16:54:34,18.62396204033214,20250214_165434
JNJ,Johnson & Johnson,2025-01-15 to 2025-02-13,98,0.1646311135924592,0.4919717624414944,0.1550845973631914,0.151213776808913,0.2448979591836734,0.1326530612244898,2025-02-13 23:40:26,156.595,166.0,168.64,150.0,190.0,21,buy,1.5268384619212316,1233638,8747073,377021267968,0.518,2025-02-14 16:54:34,6.005938886937642,20250214_165434
JPM,JPMorgan Chase & Co.,2025-01-15 to 2025-02-14,166,0.1393106295401791,0.4674225255801302,0.0129715538024902,0.1156508190425362,0.2289156626506024,0.1265060240963855,2025-02-14 10:00:00,277.72,273.0,266.97668,180.51,330.0,21,buy,2.46457809370757,1500621,8941028,776949465088,1.091,2025-02-14 16:54:34,-1.6995535071294927,20250214_165434
META,Meta Platforms Inc.,2020-07-22 to 2025-02-14,249,0.0485981710225224,0.469891683838643,-0.011482159266105,0.0487941313895486,0.1566265060240964,0.1485943775100401,2025-02-14 10:00:00,732.5,772.5,759.80383,505.0,935.0,60,strong_buy,2.1048194970819,4729303,13735661,1855905857536,1.215,2025-02-14 16:54:34,5.460750853242321,20250214_165434
MSFT,Microsoft Corporation,2025-01-08 to 2025-02-14,250,-0.0104985292434692,0.4822464480624924,0.0276617194215456,-0.0069875186226932,0.176,0.18,2025-02-14 10:50:00,407.4763,500.0,508.051,420.0,650.0,50,strong_buy,-1.1507722490075034,8370962,21796441,3029170651136,0.904,2025-02-14 16:54:34,22.706523054224263,20250214_165434
NVDA,NVIDIA Corporation,2025-02-03 to 2025-02-14,249,-0.0186058232343819,0.5549712665408414,-0.0145133153251979,-0.0186058232343819,0.2128514056224899,0.253012048192771,2025-02-14 10:50:00,138.0,175.0,172.08,120.0,220.0,54,strong_buy,3.3151108269881657,71682832,245162391,3379619954688,1.657,2025-02-14 16:54:34,26.81159420289855,20250214_165434
TSLA,Tesla Inc.,2025-01-29 to 2025-02-14,250,-0.1513953833818435,0.5486050984620253,-0.2175136609922481,-0.1513953833818435,0.14,0.316,2025-02-14 10:50:00,352.9243,359.0,343.57977,135.0,550.0,42,hold,0.6256307796909111,28666809,82621266,1135187984384,2.295,2025-02-14 16:54:34,1.721530651190633,20250214_165434
V,Visa Inc.,2025-01-15 to 2025-02-14,85,0.1912873850149266,0.4305932682510149,0.0814572834968566,0.1744385224122267,0.2235294117647059,0.0941176470588235,2025-02-14 10:00:00,354.965,385.0,371.72833,289.0,400.0,36,buy,1.2334535445960082,2263898,6032266,684731072512,0.952,2025-02-14 16:54:34,8.461397602580544,20250214_165434
