symbol,optimal_weight,expected_return,sector
RCI,0.2,0.10084104973239594,Communication Services
TNC,0.18976042407872237,0.10084104973239594,Industrials
PHX,0.17823057054204505,0.10084104973239594,Energy
ARDT,0.15539791420864585,0.1485316494749125,Healthcare
HRTG,0.10092920158360591,0.18704251318258538,Financial Services
PRU,0.09263617572882873,0.10084104973239594,Financial Services
DDOG,0.07388680924343455,0.10084104973239594,Technology
MAX,0.009158904614717533,0.10084104973239594,Communication Services
