Symbol
MAX
RCI
XPO
NX
DDOG
TNC
PHX
CRNT
PRU
BHVN
ARDT
HRTG
ARX
CC
CRM
ACCO
META
AHL
UTZ
PMTS
DDL
SLP
UAL
INSW
CLDX
VERA
MPAA
FINV
CRTO
DVN
SLB
TRVG
CEU
TEAD
OGC
WDAY
ADEN
CHMI
HBM
DUOL
HQY
COP
STZ
CAL
MATV
DHR
PACS
COUR
DDI
BIIB
MA
EFX
MNMD
QUAD
GDEV
BILL
ENOV
DXCM
UIS
LFST
MDXG
MD
CG
NPI
GPCR
CRNX
CMPS
LW
MNKD
TCOM
MU
CDE
AMRK
PFGC
AAPL
TX
EVH
IMXI
SNPS
BRZE
WELL
KINS
TBLA
JBS
RNO
SHOP
LNTH
AII
MANH
MDLZ
SPB
UPWK
CVNA
AMTM
LVO
CHE
SMCI
SSTK
BWMX
SMP
LKQ
ADV
RARE
CCJ
SLVM
KRO
TWLO
IDYA
CVS
DRX
NVDA
KOP
MRVL
TOT
ZM
DBRG
HLF
KELYA
TSLA
DAR
IMCR
SPGI
UBER
VLE
IFOS
CVE
ARCO
GOOGL
SNDX
ASML
MSFT
CRDB
MER
AVGO
FSLR
ALK
RCKT
AMZN
CIVI
AVNW
CSP
AXON
NESR
IMVT
UHS
HAL
CTRA
MTDR
TCLA
CLS
FANG
