date,retail_sales
2014-03-01,429132.0
2014-04-01,433530.0
2014-05-01,434248.0
2014-06-01,435438.0
2014-07-01,436150.0
2014-08-01,439518.0
2014-09-01,438459.0
2014-10-01,440095.0
2014-11-01,441249.0
2014-12-01,438509.0
2015-01-01,436125.0
2015-02-01,435450.0
2015-03-01,441895.0
2015-04-01,442967.0
2015-05-01,446114.0
2015-06-01,446572.0
2015-07-01,450143.0
2015-08-01,450168.0
2015-09-01,448090.0
2015-10-01,446905.0
2015-11-01,448738.0
2015-12-01,450598.0
2016-01-01,447376.0
2016-02-01,451898.0
2016-03-01,450462.0
2016-04-01,452238.0
2016-05-01,453898.0
2016-06-01,458711.0
2016-07-01,457894.0
2016-08-01,458375.0
2016-09-01,461400.0
2016-10-01,462362.0
2016-11-01,462231.0
2016-12-01,467852.0
2017-01-01,473019.0
2017-02-01,472945.0
2017-03-01,472149.0
2017-04-01,473986.0
2017-05-01,471630.0
2017-06-01,473546.0
2017-07-01,473552.0
2017-08-01,474449.0
2017-09-01,484163.0
2017-10-01,484848.0
2017-11-01,490013.0
2017-12-01,492579.0
2018-01-01,490426.0
2018-02-01,493334.0
2018-03-01,493022.0
2018-04-01,494498.0
2018-05-01,500930.0
2018-06-01,499218.0
2018-07-01,502255.0
2018-08-01,501962.0
2018-09-01,500033.0
2018-10-01,505622.0
2018-11-01,507278.0
2018-12-01,496973.0
2019-01-01,500208.0
2019-02-01,500928.0
2019-03-01,508944.0
2019-04-01,509564.0
2019-05-01,512930.0
2019-06-01,513716.0
2019-07-01,518274.0
2019-08-01,521348.0
2019-09-01,518188.0
2019-10-01,519795.0
2019-11-01,523120.0
2019-12-01,524954.0
2020-01-01,525411.0
2020-02-01,525380.0
2020-03-01,477676.0
2020-04-01,408312.0
2020-05-01,484978.0
2020-06-01,526970.0
2020-07-01,535644.0
2020-08-01,540423.0
2020-09-01,551131.0
2020-10-01,549271.0
2020-11-01,544421.0
2020-12-01,549300.0
2021-01-01,570510.0
2021-02-01,555489.0
2021-03-01,616348.0
2021-04-01,622705.0
2021-05-01,615543.0
2021-06-01,622125.0
2021-07-01,612647.0
2021-08-01,616892.0
2021-09-01,620529.0
2021-10-01,630562.0
2021-11-01,637775.0
2021-12-01,632515.0
2022-01-01,644034.0
2022-02-01,650522.0
2022-03-01,664167.0
2022-04-01,673245.0
2022-05-01,671040.0
2022-06-01,675702.0
2022-07-01,671067.0
2022-08-01,675107.0
2022-09-01,673312.0
2022-10-01,681748.0
2022-11-01,673674.0
2022-12-01,666734.0
2023-01-01,693826.0
2023-02-01,686434.0
2023-03-01,679067.0
2023-04-01,683698.0
2023-05-01,686672.0
2023-06-01,688810.0
2023-07-01,690641.0
2023-08-01,696238.0
2023-09-01,702109.0
2023-10-01,699365.0
2023-11-01,698105.0
2023-12-01,703256.0
2024-01-01,695631.0
2024-02-01,700519.0
2024-03-01,703738.0
2024-04-01,702681.0
2024-05-01,704309.0
2024-06-01,702350.0
2024-07-01,710851.0
2024-08-01,710038.0
2024-09-01,716388.0
2024-10-01,719676.0
2024-11-01,724609.0
