ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
RLX,RLX Technology Inc.,2024-12-18 to 2024-12-30,3,0.4793521165847778,0.4761096648369661,,0.4793521165847778,0.3333333333333333,0.0,2024-12-30 10:30:00
LVO,LiveOne Inc.,2024-12-18 to 2025-01-14,10,0.4393535304069519,0.4134766225578564,0.3611215829849243,0.4393535304069519,0.6,0.0,2025-01-14 09:03:04
ARCO,Arcos Dorados Holdings Inc.,2024-12-19 to 2025-01-03,10,0.3617550241947175,0.4374018036887526,,0.3617550241947175,0.6,0.0,2025-01-03 16:34:11
IDYA,IDEAYA Biosciences Inc.,2024-12-16 to 2025-01-12,8,0.3466606795787811,0.5541144653544006,0.0,0.3466606795787811,0.5,0.125,2025-01-12 13:01:10
HQY,HealthEquity Inc.,2024-12-17 to 2025-01-13,13,0.3273939618697533,0.4048409172479827,0.4929689526557922,0.3273939618697533,0.3846153846153846,0.1538461538461538,2025-01-13 13:54:04
RCKT,Rocket Pharmaceuticals Inc.,2024-12-18 to 2025-01-02,5,0.3208439517021179,0.4406528415936349,,0.3208439517021179,0.4,0.0,2025-01-02 22:00:00
TWLO,Twilio Inc.,2024-12-16 to 2025-01-10,33,0.3016813827283455,0.4059267825987559,0.5152588069438934,0.3016813827283455,0.2727272727272727,0.0303030303030303,2025-01-10 11:45:00
MA,Mastercard Incorporated,2024-12-16 to 2025-01-14,119,0.2912848799168562,0.4666547675411432,0.1485889211297035,0.2912848799168562,0.3361344537815126,0.0756302521008403,2025-01-14 16:42:09
HBM,Hudbay Minerals Inc.,2024-12-18 to 2025-01-13,14,0.2859330547707421,0.3109053480713835,0.3141259576593126,0.2859330547707421,0.2857142857142857,0.0,2025-01-13 08:25:55
G,Assicurazioni Generali S.p.A.,2024-12-16 to 2025-01-13,13,0.2840133236004756,0.4808000048151963,0.4418702483177185,0.2840133236004756,0.3846153846153846,0.0769230769230769,2025-01-13 17:06:13
SHOP,Shopify Inc.,2024-12-16 to 2025-01-14,57,0.2813836826567064,0.3812279381302069,0.3786395132541656,0.2813836826567064,0.2807017543859649,0.0701754385964912,2025-01-14 08:40:00
MNMD,Mind Medicine (MindMed) Inc.,2024-12-16 to 2024-12-19,5,0.2372057628631591,0.2547342696558895,,0.2372057628631591,0.4,0.0,2024-12-19 13:00:00
DDOG,Datadog Inc.,2024-12-16 to 2025-01-11,38,0.2314173999585603,0.3686802312140468,0.2808971151709556,0.2314173999585603,0.3684210526315789,0.0789473684210526,2025-01-11 20:18:46
SLP,Simulations Plus Inc.,2024-12-17 to 2025-01-13,16,0.2135005209594964,0.3786452368052185,0.5759505480527878,0.2135005209594964,0.1875,0.1875,2025-01-13 08:51:02
IMCR,Immunocore Holdings plc,2024-12-17 to 2025-01-10,8,0.2006625682115554,0.1951256027279352,0.5341137886047364,0.2006625682115554,0.375,0.0,2025-01-10 13:00:00
COUR,Coursera Inc.,2024-12-19 to 2024-12-20,2,0.188783586025238,0.2669803077103195,,0.188783586025238,0.5,0.0,2024-12-20 12:24:50
WELL,WELL Health Technologies Corp.,2024-12-17 to 2025-01-13,27,0.1784666895866394,0.5575625528271186,0.0,0.1784666895866394,0.2962962962962963,0.1481481481481481,2025-01-13 08:00:00
AXON,Axon Enterprise Inc.,2024-12-16 to 2025-01-14,38,0.1746979415416717,0.5338990255774569,0.2605973705649376,0.1746979415416717,0.3157894736842105,0.2105263157894736,2025-01-14 12:31:00
TCOM,Trip.com Group Limited,2024-12-18 to 2025-01-06,7,0.1691183873585292,0.431659590646969,,0.1691183873585292,0.4285714285714285,0.0,2025-01-06 15:00:17
TRVG,trivago N.V.,2024-12-20 to 2025-01-09,2,0.1677505910396576,0.2372351609443863,0.0,0.1677505910396576,0.0,0.0,2025-01-09 18:10:29
MRVL,Marvell Technology Inc.,2024-12-16 to 2025-01-14,94,0.1543613431935614,0.3895755550269349,0.0939545041984982,0.1543613431935614,0.2765957446808511,0.0744680851063829,2025-01-14 10:00:00
AVGO,Broadcom Inc.,2024-12-22 to 2025-01-14,242,0.1371827163233244,0.4698376081435459,0.0766206988692283,0.1371827163233244,0.2727272727272727,0.1487603305785124,2025-01-14 12:31:00
AMZN,Amazon.com Inc.,2025-01-02 to 2025-01-14,240,0.1367560939490794,0.434226084108993,0.1479425370223878,0.1367560939490794,0.2291666666666666,0.0833333333333333,2025-01-14 15:42:29
INSW,International Seaways Inc.,2024-12-20 to 2025-01-09,18,0.1362534364064534,0.2590845176801769,0.0,0.1362534364064534,0.2222222222222222,0.0,2025-01-09 14:00:00
CG,Centerra Gold Inc.,2024-12-16 to 2025-01-10,18,0.1304909659756554,0.3956726116327382,-0.1143423438072204,0.1304909659756554,0.1111111111111111,0.1111111111111111,2025-01-10 16:30:00
DVN,Devon Energy Corporation,2024-12-16 to 2025-01-13,39,0.1285050294338128,0.5526885948296527,0.2977069054331098,0.1285050294338128,0.282051282051282,0.2051282051282051,2025-01-13 07:56:09
UAL,United Airlines Holdings Inc.,2024-12-16 to 2025-01-14,79,0.1274344707591624,0.5053241299656414,0.3294695130416324,0.1274344707591624,0.2784810126582278,0.1392405063291139,2025-01-14 05:40:00
ASTH,Astrana Health Inc.,2024-12-19 to 2025-01-14,6,0.1243167718251546,0.1935565064174867,0.2017423152923584,0.1243167718251546,0.1666666666666666,0.0,2025-01-14 14:30:00
PFGC,Performance Food Group Company,2024-12-16 to 2025-01-09,9,0.1242520517773098,0.1891068491378024,0.0,0.1242520517773098,0.2222222222222222,0.0,2025-01-09 17:40:06
EVH,Evolent Health Inc.,2024-12-18 to 2025-01-10,7,0.1217126165117536,0.3179075923555249,0.2681772351264953,0.1217126165117536,0.1428571428571428,0.0,2025-01-10 13:04:09
MSFT,Microsoft Corporation,2025-01-03 to 2025-01-14,239,0.1099193139804457,0.4476974413314092,0.0294952356704959,0.1099193139804457,0.2301255230125523,0.1129707112970711,2025-01-14 18:46:07
DHR,Danaher Corporation,2024-12-16 to 2025-01-14,31,0.108937257336032,0.5203809104395893,0.143546621799469,0.108937257336032,0.2903225806451613,0.1935483870967742,2025-01-14 18:44:02
